Inventory ID,Project ID,Material Type,Quantity,Unit Price,Supplier Name,Supplier Contact,Location,Storage Location,Storage Conditions,Reorder Level,Reorder Quantity,Project Type,Project Name,Order Date,Expected Delivery Date,Actual Delivery Date,Procurement Status,Payment Status,Compliance Status,Risk Factor,Total Cost
INV-47,PROJ-81,Paint,3058,14.71,Robinson Inc,325-903-7106,Abu Dhabi,Baniyas East,Climate-controlled,69,393,Mixed-use,Patterson-Wood Development Project,27-09-2023,14-11-2024,18-09-2024,In-progress,Pending,Pending,Cost Overruns,44983.18
INV-48,PROJ-20,Safety Equipment,2739,59.9,"Glenn, Burton and Henry",001-665-951-6237x50296,Dubai,Dubai Silicon Oasis,Covered,178,427,Residential,"Johnson, Burns and Ingram Development Project",23-08-2024,27-09-2024,20-09-2024,Pending,Pending,Non-compliant,Delay in Delivery,164066.1
INV-49,PROJ-75,Wood,664,7.62,"Glenn, Burton and Henry",001-567-812-5851x6909,Dubai,Al Quoz Industrial Area,Open-air,148,331,Residential,"Smith, Reed and Washington Development Project",08-09-2024,10-09-2025,10-07-2025,In-progress,Overdue,Compliant,Delay in Delivery,5059.68
INV-50,PROJ-25,Bricks,4465,7.52,"Glenn, Burton and Henry",001-577-362-3719x7295,Sharjah,Al Saja'a Industrial Area,Climate-controlled,129,409,Commercial,"Ruiz, Williams and Larson Development Project",04-07-2024,02-03-2025,19-07-2024,In-progress,Pending,Non-compliant,Material Shortage,33576.8
INV-51,PROJ-9,Tiles,2013,44.6,Clark-Adams,(587)810-1563x91734,Sharjah,Industrial Area 10,Covered,121,315,Residential,Harper-Vazquez Development Project,24-08-2024,20-02-2025,03-09-2024,Delivered,Overdue,Pending,Material Shortage,89779.8
INV-52,PROJ-93,Glass,3029,31.75,Cruz-Stuart,9279107054,Sharjah,Hamriyah Free Zone,Climate-controlled,100,232,Mixed-use,Gardner-Clements Development Project,03-09-2024,,,Cancelled,Paid,Non-compliant,Cost Overruns,96170.75
INV-53,PROJ-86,Steel,682,623.44,"Miller, Nelson and Bailey",+1-442-277-2745x71212,Dubai,Dubai Silicon Oasis,Climate-controlled,135,311,Mixed-use,Flynn LLC Development Project,13-08-2024,16-03-2025,26-01-2025,Delivered,Overdue,Non-compliant,Cost Overruns,425186.08
INV-54,PROJ-31,Tiles,234,34.83,Murphy Ltd,475.850.0772,Dubai,Jebel Ali Free Zone (JAFZA),Open-air,104,241,Commercial,Morrison LLC Development Project,31-05-2024,31-07-2025,31-05-2025,Pending,Pending,Pending,Cost Overruns,8150.22
INV-55,PROJ-91,Bricks,4922,10.17,Hall-Green,210.536.0636x3755,Dubai,Dubai Silicon Oasis,Open-air,52,422,Commercial,Young-Sweeney Development Project,02-02-2024,,,Cancelled,Overdue,Pending,Cost Overruns,50056.74
INV-56,PROJ-70,Paint,3470,17.74,George Ltd,001-239-353-6957,Sharjah,Industrial Area 10,Covered,182,406,Commercial,Alvarez PLC Development Project,15-03-2024,17-08-2025,13-02-2025,Delivered,Overdue,Non-compliant,Cost Overruns,61557.8
INV-57,PROJ-73,Wood,4846,7.45,Harper Ltd,977-923-2388,Sharjah,Al Khan Industrial Area,Climate-controlled,168,210,Commercial,Williams-Martinez Development Project,11-03-2024,02-09-2025,09-01-2025,Delivered,Pending,Pending,Material Shortage,36102.7
INV-58,PROJ-24,Bricks,258,8.44,George Ltd,+1-961-209-2872x742,Sharjah,Industrial Area 10,Climate-controlled,183,306,Residential,Walker Ltd Development Project,06-07-2024,01-07-2025,10-02-2025,Pending,Paid,Pending,Material Shortage,2177.52
INV-59,PROJ-49,Tiles,4739,35.84,"Miller, Nelson and Bailey",946-392-2639x7263,Abu Dhabi,Al Ain Industrial Area,Open-air,73,296,Mixed-use,"Perez, Hodges and Jones Development Project",04-07-2024,,,Cancelled,Overdue,Compliant,Cost Overruns,169845.76
INV-60,PROJ-56,Safety Equipment,1938,123.04,"Barton, Johnson and Stark",(933)998-7575x10649,Dubai,Jebel Ali Free Zone (JAFZA),Covered,156,463,Commercial,Smith-Hamilton Development Project,17-04-2024,20-02-2025,16-05-2024,Pending,Overdue,Non-compliant,Material Shortage,238451.52
INV-61,PROJ-95,Wood,2353,5.13,George Ltd,6878622953,Abu Dhabi,Khalifa Industrial Zone Abu Dhabi (KIZAD),Covered,162,339,Residential,Kim-Ross Development Project,06-03-2024,23-04-2025,26-10-2024,In-progress,Paid,Compliant,Material Shortage,12070.89
INV-62,PROJ-17,Sand,2083,10.1,Wade-Wilson,979.229.6780x499,Sharjah,Al Saja'a Industrial Area,Climate-controlled,181,352,Commercial,Cummings Inc Development Project,15-12-2023,24-10-2024,04-01-2024,Pending,Paid,Non-compliant,Material Shortage,21038.3
INV-63,PROJ-5,Safety Equipment,1579,114.24,"Miller, Nelson and Bailey",820.758.0578x913,Sharjah,Al Khan Industrial Area,Open-air,126,241,Residential,Woods Group Development Project,22-06-2024,29-12-2024,04-07-2024,Delivered,Pending,Non-compliant,Delay in Delivery,180384.96
INV-64,PROJ-74,Paint,1426,18.77,Murphy Ltd,(497)254-2389x804,Abu Dhabi,Baniyas East,Covered,95,420,Mixed-use,Mitchell-Jennings Development Project,22-04-2024,16-09-2025,03-03-2025,Delivered,Paid,Pending,Cost Overruns,26766.02
INV-65,PROJ-89,Paint,2026,12.38,"Brewer, Swanson and Gutierrez",427-527-8326,Abu Dhabi,Khalifa Industrial Zone Abu Dhabi (KIZAD),Open-air,152,377,Commercial,Reeves-Davis Development Project,12-07-2024,15-07-2025,31-03-2025,In-progress,Paid,Compliant,Cost Overruns,25081.88
INV-66,PROJ-9,Safety Equipment,1894,69.96,Cruz-Stuart,+1-888-489-4789x5558,Abu Dhabi,Khalifa Industrial Zone Abu Dhabi (KIZAD),Climate-controlled,68,472,Residential,Harper-Vazquez Development Project,13-04-2024,,,Cancelled,Overdue,Pending,Delay in Delivery,132504.24
INV-67,PROJ-24,Safety Equipment,3825,59.33,"Miller, Nelson and Bailey",898.650.0051x027,Dubai,Ras Al Khor Industrial Area,Open-air,144,283,Mixed-use,Walker Ltd Development Project,13-01-2024,10-07-2025,16-10-2024,In-progress,Pending,Compliant,Material Shortage,226937.25
INV-68,PROJ-90,Tiles,3990,31.68,Murphy-Harvey,+1-209-235-0207x713,Dubai,Al Quoz Industrial Area,Covered,200,297,Mixed-use,Weber Group Development Project,05-08-2024,15-02-2025,13-10-2024,In-progress,Paid,Pending,Material Shortage,126403.2
INV-69,PROJ-19,Safety Equipment,4992,90.64,"Maynard, Holt and Warren",665.817.2929,Dubai,Ras Al Khor Industrial Area,Covered,89,229,Commercial,Young Inc Development Project,21-01-2024,21-10-2024,05-09-2024,In-progress,Pending,Non-compliant,Delay in Delivery,452474.88
INV-70,PROJ-81,Paint,2482,24.4,"Maynard, Holt and Warren",(941)653-6082x879,Sharjah,Hamriyah Free Zone,Covered,95,326,Mixed-use,Patterson-Wood Development Project,19-12-2023,31-08-2025,09-01-2024,Delivered,Paid,Non-compliant,Cost Overruns,60560.8
INV-71,PROJ-18,Steel,520,831.51,"Maynard, Holt and Warren",2303371064,Abu Dhabi,Baniyas East,Open-air,59,282,Residential,"Phillips, Jackson and Richards Development Project",16-02-2024,22-01-2025,09-06-2024,In-progress,Paid,Compliant,Material Shortage,432385.2
INV-72,PROJ-36,Tiles,1121,42.6,Wade-Wilson,478.898.9381x1756,Sharjah,Al Khan Industrial Area,Covered,123,306,Mixed-use,Lewis-Leblanc Development Project,20-12-2023,26-11-2024,26-10-2024,Delivered,Paid,Non-compliant,Delay in Delivery,47754.6
INV-73,PROJ-77,Sand,4264,12.77,Wade-Wilson,001-804-506-5506x831,Dubai,Ras Al Khor Industrial Area,Covered,115,412,Commercial,Ward-Davis Development Project,27-04-2024,27-11-2024,19-09-2024,Pending,Overdue,Non-compliant,Delay in Delivery,54451.28
INV-74,PROJ-41,Glass,3157,31.16,"Maynard, Holt and Warren",(602)914-5993x67381,Abu Dhabi,Khalifa Industrial Zone Abu Dhabi (KIZAD),Climate-controlled,160,244,Mixed-use,Hernandez-Davis Development Project,13-10-2023,,,Cancelled,Pending,Compliant,Cost Overruns,98372.12
INV-75,PROJ-31,Tiles,1280,40.29,"Barton, Johnson and Stark",(450)774-9740,Sharjah,Hamriyah Free Zone,Climate-controlled,129,279,Commercial,Morrison LLC Development Project,24-03-2024,10-04-2025,30-11-2024,Delivered,Pending,Compliant,Material Shortage,51571.2
INV-76,PROJ-71,Paint,4669,25.5,Robinson Inc,202.994.5928x634,Sharjah,Al Saja'a Industrial Area,Covered,144,441,Residential,Crawford-Bates Development Project,30-06-2024,31-10-2024,09-08-2024,In-progress,Paid,Non-compliant,Material Shortage,119059.5
INV-77,PROJ-96,Bricks,2885,6.99,Chase PLC,(492)469-3581x5692,Abu Dhabi,Al Ain Industrial Area,Climate-controlled,56,245,Commercial,Trujillo and Sons Development Project,07-05-2024,,,Cancelled,Pending,Non-compliant,Delay in Delivery,20166.15
INV-78,PROJ-15,Wood,4166,5.7,George Ltd,+1-541-328-6861x0966,Dubai,Dubai Silicon Oasis,Covered,170,244,Commercial,Stewart-Lewis Development Project,06-10-2023,26-05-2025,28-09-2024,Delivered,Paid,Non-compliant,Material Shortage,23746.2
INV-79,PROJ-47,Wood,799,4.91,Hall-Green,520-442-9357x859,Abu Dhabi,Baniyas East,Climate-controlled,91,477,Commercial,Wallace Group Development Project,09-03-2024,14-04-2025,02-04-2025,Pending,Paid,Compliant,Cost Overruns,3923.09
INV-80,PROJ-3,Paint,3938,15.26,Harper Ltd,+1-408-412-9139x16072,Sharjah,Hamriyah Free Zone,Covered,189,357,Mixed-use,"Wallace, Green and Jennings Development Project",24-04-2024,,,Cancelled,Paid,Pending,Material Shortage,60093.88
INV-81,PROJ-84,Wood,3975,5.04,Murphy-Harvey,+1-461-324-4830x414,Sharjah,Al Khan Industrial Area,Covered,182,350,Residential,Proctor-Moore Development Project,28-05-2024,06-10-2024,22-06-2024,Pending,Overdue,Compliant,Cost Overruns,20034
INV-82,PROJ-40,Glass,4173,44.53,"Miller, Nelson and Bailey",(617)423-2933x36342,Dubai,Jebel Ali Free Zone (JAFZA),Open-air,114,436,Mixed-use,Smith-Nguyen Development Project,28-02-2024,,,Cancelled,Paid,Pending,Delay in Delivery,185823.69
INV-83,PROJ-18,Wood,2290,5.94,Robinson Inc,+1-728-288-1430x46542,Abu Dhabi,Al Ain Industrial Area,Climate-controlled,123,222,Mixed-use,"Phillips, Jackson and Richards Development Project",26-08-2024,11-06-2025,29-12-2024,Pending,Paid,Pending,Cost Overruns,13602.6
INV-84,PROJ-88,Tiles,2563,23.9,"Fowler, Morales and Yang",806-254-6866,Sharjah,Al Khan Industrial Area,Climate-controlled,180,398,Mixed-use,Moses and Sons Development Project,27-03-2024,02-04-2025,16-04-2024,Pending,Paid,Pending,Delay in Delivery,61255.7
INV-85,PROJ-17,Bricks,467,5.6,Cruz-Stuart,001-585-496-2714x865,Sharjah,Al Khan Industrial Area,Covered,64,293,Mixed-use,Cummings Inc Development Project,18-03-2024,,,Cancelled,Paid,Pending,Delay in Delivery,2615.2
INV-86,PROJ-65,Paint,112,16.55,Harper Ltd,+1-671-433-9229x579,Abu Dhabi,Khalifa Industrial Zone Abu Dhabi (KIZAD),Covered,189,209,Residential,Nguyen-Reilly Development Project,02-05-2024,,,Cancelled,Paid,Compliant,Cost Overruns,1853.6
INV-87,PROJ-19,Safety Equipment,1058,118.18,Robinson Inc,710-993-9262x915,Sharjah,Al Khan Industrial Area,Covered,57,442,Mixed-use,Young Inc Development Project,26-07-2024,14-09-2025,08-02-2025,In-progress,Pending,Compliant,Delay in Delivery,125034.44
INV-88,PROJ-82,Glass,2881,28.81,"Jackson, Thomas and Duncan",+1-927-463-7023x508,Abu Dhabi,Baniyas East,Climate-controlled,73,378,Commercial,Schaefer Inc Development Project,28-01-2024,24-03-2025,06-08-2024,In-progress,Overdue,Pending,Delay in Delivery,83001.61
INV-89,PROJ-53,Paint,2756,26.09,"Miller, Nelson and Bailey",-8854,Dubai,Ras Al Khor Industrial Area,Open-air,75,472,Mixed-use,Reyes-Eaton Development Project,20-08-2024,23-08-2025,08-01-2025,In-progress,Overdue,Pending,Cost Overruns,71904.04
INV-90,PROJ-98,Steel,1009,914.77,"Barton, Johnson and Stark",+1-469-446-3066x91052,Sharjah,Al Saja'a Industrial Area,Covered,174,231,Mixed-use,"Washington, Day and Hughes Development Project",09-06-2024,24-01-2025,09-01-2025,Delivered,Pending,Pending,Cost Overruns,923002.93
INV-91,PROJ-42,Sand,3205,14.37,Robinson Inc,001-299-427-4467,Dubai,Jebel Ali Free Zone (JAFZA),Covered,69,329,Mixed-use,Gregory Ltd Development Project,12-11-2023,11-11-2024,30-08-2024,Pending,Overdue,Compliant,Delay in Delivery,46055.85
INV-92,PROJ-66,Cement,1322,81.48,"Miller, Nelson and Bailey",710-895-8108,Abu Dhabi,Khalifa Industrial Zone Abu Dhabi (KIZAD),Open-air,66,407,Residential,Cox Group Development Project,13-04-2024,01-11-2024,18-09-2024,Pending,Pending,Non-compliant,Cost Overruns,107716.56
INV-93,PROJ-95,Paint,4555,26.81,George Ltd,001-867-404-5046x4452,Sharjah,Al Saja'a Industrial Area,Climate-controlled,55,276,Commercial,Kim-Ross Development Project,14-12-2023,23-09-2025,30-07-2025,Pending,Paid,Pending,Delay in Delivery,122119.55
INV-94,PROJ-96,Bricks,656,7.1,"Barton, Johnson and Stark",797.849.8199x88877,Sharjah,Al Saja'a Industrial Area,Climate-controlled,118,302,Mixed-use,Trujillo and Sons Development Project,17-04-2024,08-03-2025,14-06-2024,Pending,Pending,Compliant,Delay in Delivery,4657.6
INV-95,PROJ-97,Cement,695,94.84,Robinson Inc,971-691-6214x7801,Abu Dhabi,Baniyas East,Open-air,81,325,Mixed-use,Hancock-Good Development Project,29-09-2023,,,Cancelled,Overdue,Non-compliant,Cost Overruns,65913.8
INV-96,PROJ-35,Bricks,945,13.7,Murphy Ltd,7592195883,Abu Dhabi,Mussafah Industrial Area,Open-air,61,249,Commercial,Williams Inc Development Project,15-03-2024,24-10-2024,25-09-2024,Pending,Paid,Non-compliant,Material Shortage,12946.5
INV-97,PROJ-1,Glass,1297,25.28,"Maynard, Holt and Warren",001-597-787-7850x00500,Sharjah,Al Khan Industrial Area,Covered,151,327,Commercial,"Peterson, Krause and Abbott Development Project",18-03-2024,14-05-2025,01-06-2024,In-progress,Overdue,Non-compliant,Material Shortage,32788.16
INV-98,PROJ-83,Sand,4574,12.84,Cruz-Stuart,742-923-0570x52652,Dubai,Jebel Ali Free Zone (JAFZA),Covered,92,470,Commercial,"Perez, Anderson and Morgan Development Project",06-10-2023,05-05-2025,25-07-2024,In-progress,Overdue,Compliant,Cost Overruns,58730.16
